BUSNUMBERSWAP
SwapPresentNum,SwapNewNum,SwapName,SwapAreaName,SwapNomVolt,SwapYesNo
10740,10740,4WALT,CPLW,138.00,YES
10741,10741,3WALT  H,CPLW,115.00,YES
10743,10743,3CANTON,CPLW,115.00,YES
10745,10745,3LAKE JU,CPLW,115.00,YES
10747,10747,5WALTERS,CPLW,161.00,YES
10750,10750,3PISGAH,CPLW,115.00,YES
10759,10759,3LEICEST,CPLW,115.00,YES
10760,10760,3CANDLER,CPLW,115.00,YES
10769,10769,6CRAGGY,CPLW,230.00,YES
10780,10780,3CANE RV,CPLW,115.00,YES
10853,10853,1WALT #1,CPLW,13.80,YES
10854,10854,1WALT #2,CPLW,13.80,YES
10855,10855,1WALT #3,CPLW,13.80,YES
11084,11084,5NANTAHA,DUK,161.00,YES
11170,11170,5LAKEMRY,DUK,161.00,YES
11171,11171,5OAK GRO,DUK,161.00,YES
11172,11172,5ROBBINS,DUK,161.00,YES
11173,11173,5TUCKASE,DUK,161.00,YES
11174,11174,5WEBSTER,DUK,161.00,YES
15001,15001,8BOWEN,SOCO,500.00,YES
15002,15002,5ROCK SP,SOCO,161.00,YES
15004,15004,8MILLER,SOCO,500.00,YES
15005,15005,3BLOUNT,SOCO,115.00,YES
15006,15006,5ATTALLA,SOCO,161.00,YES
15007,15007,5PHIL CT,SOCO,161.00,YES
15008,15008,5S.VERNT,SOCO,161.00,YES
15009,15009,6E DALTO,SOCO,230.00,YES
15106,15106,1BOWEN1,SOCO,25.00,YES
15107,15107,1BOWEN2,SOCO,25.00,YES
15108,15108,1BOWEN3,SOCO,18.00,YES
15170,15170,1MILLER1,SOCO,24.00,YES
15174,15174,1GORGAS6,SOCO,13.80,YES
15178,15178,1GORGAS1,SOCO,26.00,YES
15502,15502,8UNIONCY,SOCO,500.00,YES
15512,15512,8VILLARI,SOCO,500.00,YES
15515,15515,6UNIONCY,SOCO,230.00,YES
15516,15516,6FLATSHO,SOCO,230.00,YES
15517,15517,6WELCMAL,SOCO,230.00,YES
15518,15518,6E POINT,SOCO,230.00,YES
15519,15519,6MCGRAW6,SOCO,230.00,YES
15521,15521,6CARTERS,SOCO,230.00,YES
15522,15522,6ADAMSVL,SOCO,230.00,YES
15523,15523,6BAKERSF,SOCO,230.00,YES
15524,15524,6BOATROC,SOCO,230.00,YES
15615,15615,6COTTON,SOCO,230.00,YES
15617,15617,6GORDON,SOCO,230.00,YES
15618,15618,6S MACON,SOCO,230.00,YES
15622,15622,6NDUBLIN,SOCO,230.00,YES
15625,15625,6EATNTNL,SOCO,230.00,YES
15641,15641,6ROCKSPR,SOCO,230.00,YES
15645,15645,6HAMMOND,SOCO,230.00,YES
15646,15646,6CEDRTWN,SOCO,230.00,YES
15647,15647,6BREMEN,SOCO,230.00,YES
15648,15648,6VILLARI,SOCO,230.00,YES
15649,15649,6DOUGLSV,SOCO,230.00,YES
15650,15650,6CEDARMT,SOCO,230.00,YES
15658,15658,6BOWEN,SOCO,230.00,YES
15659,15659,6CARTERV,SOCO,230.00,YES
15660,15660,6ATLSTEL,SOCO,230.00,YES
15661,15661,6PINSON,SOCO,230.00,YES
15662,15662,6OOSTANA,SOCO,230.00,YES
15664,15664,6TUNNELH,SOCO,230.00,YES
15665,15665,6COOSAWT,SOCO,230.00,YES
15666,15666,6TIOGA,SOCO,230.00,YES
15838,15838,3ROCKSPR,SOCO,115.00,YES
15839,15839,3LAFAYTE,SOCO,115.00,YES
15840,15840,3TUNNELH,SOCO,115.00,YES
15841,15841,3DALTON,SOCO,115.00,YES
15842,15842,3EDALTNB,SOCO,115.00,YES
15843,15843,3OOSTANA,SOCO,115.00,YES
15844,15844,3COOSAWA,SOCO,115.00,YES
15847,15847,3PINSON,SOCO,115.00,YES
15884,15884,6FIFTY-4,SOCO,230.00,YES
15891,15891,6MTCARML,SOCO,230.00,YES
15901,15901,8TENASGA,SOCO,500.00,YES
15906,15906,3CHELSTP,SOCO,115.00,YES
15933,15933,8SNDOWN,SOCO,500.00,YES
15950,15950,6ELLIJAY,SOCO,230.00,YES
15951,15951,6FIRSTMT,SOCO,230.00,YES
15954,15954,3EDALTON,SOCO,115.00,YES
16013,16013,5FAYETTS,SOCO,161.00,YES
16014,16014,5RENFRO,SOCO,161.00,YES
16018,16018,5KINGVLL,SOCO,161.00,YES
16019,16019,5FAYETCO,SOCO,161.00,YES
16039,16039,5LYNN DS,SOCO,161.00,YES
16040,16040,5HALVLTS,SOCO,161.00,YES
16041,16041,5WESTON,SOCO,161.00,YES
16042,16042,5HAMILTN,SOCO,161.00,YES
16043,16043,3GORGAS1,SOCO,115.00,YES
16045,16045,6GORGAS6,SOCO,230.00,YES
16046,16046,6MILLER,SOCO,230.00,YES
16047,16047,3BOYLS12,SOCO,115.00,YES
16048,16048,6BOYLSM1,SOCO,230.00,YES
16049,16049,6BOYLSGA,SOCO,230.00,YES
16052,16052,1GAD1MID,SOCO,1.00,YES
16053,16053,3KETONA,SOCO,115.00,YES
16055,16055,3PRATTCY,SOCO,115.00,YES
16056,16056,6PRATTCY,SOCO,230.00,YES
16060,16060,6BESSGRC,SOCO,230.00,YES
16061,16061,3MAGL123,SOCO,115.00,YES
16062,16062,6MAGELLA,SOCO,230.00,YES
16064,16064,62 HOLT,SOCO,230.00,YES
16065,16065,6HOLT,SOCO,230.00,YES
16067,16067,3CLAY,SOCO,115.00,YES
16068,16068,6CLAY,SOCO,230.00,YES
16069,16069,3LEEDSTS,SOCO,115.00,YES
16071,16071,6ONEONTA,SOCO,230.00,YES
16072,16072,3EASTBHM,SOCO,115.00,YES
16076,16076,3NOHELNA,SOCO,115.00,YES
16077,16077,6NOHELNA,SOCO,230.00,YES
16078,16078,3JAXSHAL,SOCO,115.00,YES
16079,16079,3ANNISTN,SOCO,115.00,YES
16081,16081,3HENRYDM,SOCO,115.00,YES
16082,16082,3GULFSSI,SOCO,115.00,YES
16084,16084,3GADSDEN,SOCO,115.00,YES
16085,16085,3WEISSDM,SOCO,115.00,YES
16087,16087,3ATTALLA,SOCO,115.00,YES
16093,16093,6S. BESS,SOCO,230.00,YES
16094,16094,8S. BESS,SOCO,500.00,YES
16095,16095,3LMARTDM,SOCO,115.00,YES
16180,16180,5FAYETDS,SOCO,161.00,YES
16182,16182,5HALVLDS,SOCO,161.00,YES
16184,16184,5NAUVOO,SOCO,161.00,YES
16189,16189,5PHILCAM,SOCO,161.00,YES
16190,16190,5SVERNDS,SOCO,161.00,YES
16193,16193,3GORGS#2,SOCO,115.00,YES
16194,16194,3GORGS#3,SOCO,115.00,YES
16195,16195,6DUNCNVL,SOCO,230.00,YES
16210,16210,6GADSDN6,SOCO,230.00,YES
16217,16217,3SBESSMR,SOCO,115.00,YES
16228,16228,8TENASKA,SOCO,500.00,YES
16243,16243,6ACIPCO6,SOCO,230.00,YES
16249,16249,1GAD2MID,SOCO,1.00,YES
18001,18001,7SHAWNEE,TVA,345.00,YES
18002,18002,5SHAWNE1,TVA,161.00,YES
18003,18003,5SHAW G1,TVA,161.00,YES
18004,18004,5SHAW G3,TVA,161.00,YES
18005,18005,5SHAW G5,TVA,161.00,YES
18006,18006,5SHAW G7,TVA,161.00,YES
18007,18007,5MARSHAL,TVA,161.00,YES
18008,18008,8SHELBY,TVA,500.00,YES
18009,18009,8FREEPOR,TVA,500.00,YES
18010,18010,8W POINT,TVA,500.00,YES
18011,18011,8PLSNTHL,TVA,500.00,YES
18012,18012,5PARADIS,TVA,161.00,YES
18014,18014,8BNP 2,TVA,500.00,YES
18015,18015,6WID CRK,TVA,230.00,YES
18016,18016,8SNP,TVA,500.00,YES
18017,18017,8HAYWOOD,TVA,500.00,YES
18018,18018,8PHIPP B,TVA,500.00,YES
18019,18019,8SULLIVA,TVA,500.00,YES
18020,18020,5CALVERT,TVA,161.00,YES
18021,18021,5KY HY,TVA,161.00,YES
18022,18022,5ALLEN S,TVA,161.00,YES
18023,18023,5WILSNHP,TVA,161.00,YES
18024,18024,3GUNTERV,TVA,115.00,YES
18025,18025,5ALBERTV,TVA,161.00,YES
18026,18026,5BARKLEY,TVA,161.00,YES
18027,18027,5SUMMER,TVA,161.00,YES
18028,18028,5OGLETHR,TVA,161.00,YES
